SID,LocalPath,LocalComputerName,LocalUsername,JumpCloudUserName,JumpCloudUserID,JumpCloudSystemID,SerialNumber
S-1-5-21-3834645321-368075237-1973158688-1141,C:\Users\hillaryw,WroughtIron,S-1-5-21-3834645321-368075237-1973158688-1141,,,68c41e051d4df281e5ba28a6,CG628T2
S-1-5-21-3834645321-368075237-1973158688-1129,C:\Users\connieb,WroughtIron,connieb,cbecnel,,68c41e051d4df281e5ba28a6,CG628T2
S-1-5-21-3834645321-368075237-1973158688-1126,C:\Users\c4smb,WroughtIron,S-1-5-21-3834645321-368075237-1973158688-1126,,,68c41e051d4df281e5ba28a6,CG628T2
S-1-5-21-3834645321-368075237-1973158688-1311,C:\Users\jordank,WroughtIron,S-1-5-21-3834645321-368075237-1973158688-1311,,,68c41e051d4df281e5ba28a6,CG628T2
S-1-5-21-3834645321-368075237-1973158688-1157,C:\Users\ticketb,Monitor,ticketb,ticketb,,68bf205f3473210b4dfbf465,7VFL3Y2
S-1-5-21-3834645321-368075237-1973158688-1141,C:\Users\hillaryw,Molasses,hillaryw,hloeber,,68bf114136c529dfc7e8fabe,FGCPC42
S-1-5-21-3834645321-368075237-1973158688-1205,C:\Users\sarahs.OA,Molasses,sarahs,,,68bf114136c529dfc7e8fabe,FGCPC42
S-1-5-21-3834645321-368075237-1973158688-5116,C:\Users\accounting,OAR-000300,accounting,accounting,,68bb6feb565f60a43ad76790,CN1B9R3
S-1-5-21-3834645321-368075237-1973158688-5108,C:\Users\Teresar,OAR-000301,teresar,receiving,,68bb6b3cb2084752e7b273bd,CFQ2P54
S-1-5-21-3834645321-368075237-1973158688-5123,C:\Users\giftshop,OAR-000192,giftshop,giftshop,,68bb6b2fb2084752e7b27255,G2H3X74
S-1-5-21-3834645321-368075237-1973158688-1140,C:\Users\GWENC.000,alleycat,gwenc,gcortez,,68bb6b092bf0a882b0bf1cc9,DZRK1S2
S-1-5-21-3834645321-368075237-1973158688-1361,C:\Users\Shipping,ICECREAM-NEW,shipping, shipping,,68bb644d114abc07922d9a9c,4LN7X74
S-1-5-21-3834645321-368075237-1973158688-5108,C:\Users\teresar,SEQUOIA,teresar,receiving,,68bb641c6a133ab3c1094b97,3HMLG04
S-1-5-21-3834645321-368075237-1973158688-1134,C:\Users\donnac,OAR-000313,donnac,dcortez,,68bb61a8ebf8e70730d16ea9,6FCYCX3
S-1-5-21-3834645321-368075237-1973158688-4607,C:\Users\chef2,OAR-000277,chef2,chef2,,68bb619c53236828ac2b4aad,65LQ3L3
S-1-5-21-3834645321-368075237-1973158688-1139,C:\Users\gmanager,OAR-000664,gmanager, gsmanager,,68bb619b68fc98059b5b441b,FLL3X74
S-1-5-21-3834645321-368075237-1973158688-1156,C:\Users\tanam,OAR-000888,tanam,reservations,,68bb6150c6edb1840019fd8f,HSR7X74
S-1-5-21-3834645321-368075237-1973158688-1377,C:\Users\Chef3,CRICKETS-NEW,chef3, chef3,,68bb61197cc5cf5f6b23af43,CHN7X74
S-1-5-21-3834645321-368075237-1973158688-1348,C:\Users\clerk,spade,clerk,directorofops,,68bb5f523bb2e4684c1e614e,4SRBL84
S-1-5-21-3834645321-368075237-1973158688-5118,C:\Users\OAR-MAINT,OAR-000115,OAR-MAINT,Maintenance,,68bb5b1ba26d60258b675047,HRV7NW3
S-1-5-21-3834645321-368075237-1973158688-5110,C:\Users\toddp,spearmint,toddp,tpitre,,68bb54ec6d305890264c2231,MJ0LQPDG
S-1-5-21-3834645321-368075237-1973158688-1126,C:\Users\c4smb,spearmint,S-1-5-21-3834645321-368075237-1973158688-1126,,,68bb54ec6d305890264c2231,MJ0LQPDG
S-1-5-21-3834645321-368075237-1973158688-1129,C:\Users\Connieb,OAF-000238,connieb,cbecnel,,68bb54e7ba8a2aba3ff99338,F2RMBW3
S-1-5-21-3834645321-368075237-1973158688-1150,C:\Users\PENNYS,Spider,pennys,pscioneaux,,68bb549cf35bd052212082c9,B9WMRR2
S-1-5-21-3834645321-368075237-1973158688-1159,C:\Users\vince,Vince,S-1-5-21-3834645321-368075237-1973158688-1159,vyardas,,68bb464fa1c8660f6a2767e2,2N80RL3
S-1-5-21-3834645321-368075237-1973158688-1126,C:\Users\c4smb,Vince,S-1-5-21-3834645321-368075237-1973158688-1126,vyardas,,68bb464fa1c8660f6a2767e2,2N80RL3
S-1-5-21-3834645321-368075237-1973158688-1136,C:\Users\dougp,OAF000246,dougp, dpitre,,68bb43ce00f7390fc5260fdd,BGCLRF2
S-1-5-21-3834645321-368075237-1973158688-1122,C:\Users\alexc,walkietalkie,alexc,acambre,,68bb42618bf5f0ee003be4a9,MJ0LQPDM
S-1-5-21-3834645321-368075237-1973158688-1157,C:\Users\ticketb,Ticketbooth1,ticketb,ticketb,,68bb4251e201ba6c9a59a347,MJ0LQPDB
S-1-5-21-3834645321-368075237-1973158688-1130,C:\Users\danielleo,Spruce,danielleo, dordoyne,,68a7734b8643665ecdf63f88,JNVV0R3
S-1-5-21-3834645321-368075237-1973158688-1157,C:\Users\ticketb,ticketbooth2,ticketb,ticketb,,68a76cd119fde53b6818683f,MJ0LPT7V
